x y
12071 15
9295 14
572 5
6709 11
2239 14
10422 13
578 14
12108 10
594 14
8613 15
6257 11
79 16
12345 10
11628 8
7459 11
8722 9
6539 10
11467 14
12376 12
12060 12
9487 10
6401 7
4535 13
1747 10
10806 10
3735 16
5442 12
9810 10
230 14
8326 11
4285 15
7800 14
9138 14
2798 14
7001 11
2891 15
7921 12
1175 10
3544 12
482 11
2792 12
12308 11
1586 10
3830 13
1274 8
11274 10
2850 13
4966 15
3613 13
11872 13
8746 11
1371 5
4242 14
6967 12
5599 13
2013 14
9916 8
11852 10
8056 7
9730 13
4825 15
6637 6
11978 10
3209 10
10772 9
1982 12
1941 13
910 18
478 12
4430 9
8873 10
4669 8
2499 11
8772 15
10337 12
7203 9
8751 11
8853 15
11231 10
12143 8
8209 10
6137 13
3591 15
12151 10
8827 11
7732 15
6569 10
10775 14
2437 16
8004 6
4436 12
2531 9
7679 8
8142 17
8304 14
10146 18
12380 13
5681 10
9599 10
5606 11
1845 9
10955 8
5689 14
6947 13
2712 15
8663 12
2597 9
342 9
10793 9
8914 12
8272 11
9559 13
9956 11
11060 10
2644 17
11996 9
3088 13
5520 15
5033 11
1476 10
7453 10
10885 12
257 13
9378 10
2670 12
9516 12
10100 8
2549 9
2998 13
8358 14
4215 13
9716 12
6907 12
8660 13
5635 13
3385 10
5864 9
11324 16
7403 12
4108 12
1277 17
11505 13
8328 11
9354 16
8744 11
4993 17
4537 8
12378 9
377 15
3220 15
295 8
3501 13
5729 9
2770 8
1379 13
8698 11
1863 13
12374 12
7410 8
11770 8
10020 11
2350 12
535 10
5237 11
3438 12
1532 10
7376 8
1276 15
8509 14
4096 8
12041 10
5416 15
11726 12
9659 12
6269 15
10460 15
2585 13
7776 9
118 16
3373 14
3170 10
12493 13
1765 11
7227 11
3292 9
9329 9
7687 12
7779 10
3598 12
6831 7
11441 14
8458 12
498 12
1407 13
3186 9
9617 14
6809 5
5695 9
8034 13
8354 10
7069 11
5106 12
7432 9
6432 14
3829 14
502 13
2002 13
1629 13
12106 7
4070 17
4158 12
9412 9
527 17
10137 14
1192 17
5365 12
1809 16
2596 11
12055 16
2051 16
3058 12
11037 12
932 10
9829 13
9024 16
11090 13
11475 12
3932 15
2851 14
1531 11
2323 15
2488 15
694 10
11697 19
2329 9
211 11
10717 14
767 16
4381 7
10871 13
1412 10
3989 11
1818 10
2425 10
6729 14
6283 8
751 11
11833 14
2759 11
11873 9
1995 13
10093 12
6978 15
3274 10
6406 8
9606 16
9097 10
280 12
9566 14
4474 12
487 13
4679 14
9886 10
1365 12
1918 10
11967 17
2328 12
120 10
1103 14
461 10
6482 10
2203 12
8170 7
3514 13
10667 13
6973 12
11886 11
6798 10
2749 12
3466 14
294 14
4985 14
3416 13
405 12
11968 12
9924 13
6946 13
5254 14
3680 19
10575 7
7712 8
11482 13
9790 14
9746 10
11565 11
11989 14
494 12
1885 13
1517 12
12447 17
11400 9
6611 14
7870 10
6775 11
9806 10
5231 13
9602 13
5759 11
2091 13
1525 10
12503 13
460 12
11277 13
10154 12
10254 9
10826 10
3693 11
6002 13
3584 8
11613 13
5404 14
11695 11
11972 10
8051 11
5349 14
2648 13
7444 11
3562 11
3139 11
5842 17
9254 16
10812 13
7913 7
5202 8
10531 11
5917 12
3744 12
4558 8
7066 15
1931 8
258 12
6771 13
1909 13
5063 14
6325 12
8552 13
7980 11
2889 17
1431 11
