x y
6889 17
6103 20
23813 21
19797 13
21865 15
18067 17
9142 20
1517 20
17803 20
18843 21
10002 21
5648 19
22158 14
13500 19
8357 15
17264 21
14986 17
22603 17
4446 23
3020 17
21951 21
7765 25
14615 20
18381 23
18017 21
11149 29
9890 17
23644 20
21025 22
17813 16
19470 20
23563 17
3793 18
18585 21
17824 24
21230 22
12608 24
5727 17
21719 23
6643 17
12123 16
17609 20
22789 22
17936 18
11340 20
16854 20
6748 28
9507 20
4182 17
6228 28
10462 24
15761 26
22739 22
17596 20
12537 18
2809 21
11866 21
5480 22
20606 10
15375 17
7877 21
21956 18
16510 19
9921 22
19497 19
6318 18
16725 14
13730 21
588 18
10989 13
23779 16
20505 17
21895 19
3842 16
249 23
6514 19
1227 13
17680 18
21920 16
2123 19
24500 19
4346 21
8929 17
6172 20
1593 19
17452 21
14512 21
3147 22
7838 23
2674 24
4416 19
23216 22
20493 11
15814 18
13806 20
13070 24
24863 23
22419 17
12378 24
24764 19
10093 26
8804 15
9865 24
17073 18
24128 31
14741 16
21959 15
16706 20
8790 18
6522 23
20560 22
13810 18
1104 16
15296 20
8688 19
1571 19
19449 20
13767 24
25193 26
12764 25
11284 22
22315 16
24252 15
1505 21
23560 18
22003 14
21024 13
11349 22
13367 19
15087 24
7289 18
20758 21
17638 17
20075 18
220 18
19815 21
9186 22
11567 24
9236 21
3133 14
20180 20
15404 19
19817 18
11504 18
22639 16
24688 24
21660 16
9850 18
18493 11
15649 21
20332 24
16095 22
9413 17
1406 23
8084 22
2479 19
14438 23
4394 20
7785 21
24733 26
15963 16
13853 19
22180 17
5491 19
18698 16
15390 22
14043 18
20844 22
2068 15
20647 20
2378 18
15763 14
13865 17
6237 15
24947 19
16383 19
10607 28
10853 22
20360 20
621 16
10938 17
2355 23
22755 18
7133 22
3128 18
116 20
16304 21
23531 20
14215 18
18455 21
13966 13
23916 26
8770 21
17823 20
8795 17
19843 16
24425 19
4451 16
20876 22
5021 17
5235 13
25010 17
15987 23
3072 19
569 18
11063 17
16847 16
17330 22
1975 20
4980 13
15270 23
8613 17
1793 22
4808 18
18994 26
17067 19
2797 18
18395 17
20261 16
18163 16
22686 15
9126 17
6817 18
11386 22
2284 22
4349 14
2493 21
18663 21
19312 20
13712 21
1679 14
10152 21
9038 18
11244 23
9045 20
6116 17
189 18
25108 22
9332 22
14186 20
21311 20
5443 19
13790 17
19990 17
931 19
875 25
20329 18
11607 20
5219 19
22129 16
7128 17
462 21
11315 22
17102 19
10599 19
22407 24
4362 14
23036 21
9028 21
15055 15
8066 17
16083 19
5405 27
23957 17
13001 21
9365 24
23562 16
4383 19
7824 22
9228 24
8072 19
7041 18
16253 21
1344 21
4710 12
23202 25
12545 18
12562 19
23507 20
7840 17
22566 16
4214 19
12531 22
7564 22
19974 23
21417 26
1711 21
9557 19
15870 20
8536 18
386 21
17641 24
13323 23
19847 19
9638 19
18600 18
12918 17
5461 20
14035 19
21418 22
8914 19
9970 22
20401 17
5251 17
25113 20
16775 26
23544 21
7942 26
2677 20
1480 25
4462 23
7054 24
23495 14
4872 25
18514 18
3204 24
2000 15
16916 15
23482 22
20791 20
17406 17
16904 16
22214 24
8444 14
9171 22
17365 16
22807 20
14087 18
17966 17
15015 22
